yyyymmdd,data,ano,year,month,day,time,time_difference,ltm,fil,fil_norm
20151007,26.400000000000002,-0.41347248576849793,2015,10,7,78806,1.0,26.8134724857685,-0.5224536189141573,-0.3592425924082443
20151008,27.8,1.078178368121442,2015,10,8,78807,1.0,26.72182163187856,-1.0253089174778298,-0.7050092490498111
20151009,26.8,0.1611005692599612,2015,10,9,78808,1.0,26.63889943074004,-1.5758969812077257,-1.0835972733311827
20151010,24.3,-2.256925996204938,2015,10,10,78809,1.0,26.55692599620494,-2.0782576487491644,-1.4290238183833568
20151011,20.5,-5.962049335863377,2015,10,11,78810,1.0,26.462049335863377,-2.4260200312639175,-1.668147551694494
20151012,23.1,-3.2609108159392797,2015,10,12,78811,1.0,26.36091081593928,-2.534373491744167,-1.7426521136883975
20151013,25.1,-1.1514231499051206,2015,10,13,78812,1.0,26.251423149905122,-2.367722529228197,-1.6280618005310432
20151014,25.0,-1.1392789373814054,2015,10,14,78813,1.0,26.139278937381405,-1.9529229870291236,-1.3428428691758525
20151015,25.200000000000003,-0.8277039848197347,2015,10,15,78814,1.0,26.027703984819738,-1.3732915671145867,-0.9442844395029149
20151016,25.8,-0.11574952561670315,2015,10,16,78815,1.0,25.915749525616704,-0.7450731927158536,-0.5123172959188734
20151017,26.200000000000003,0.4041745730550268,2015,10,17,78816,1.0,25.795825426944976,-0.18394760734666638,-0.12648360148763355
20151018,25.5,-0.1580645161290306,2015,10,18,78817,1.0,25.65806451612903,0.227513762496999,0.15643998029498718
20151019,25.3,-0.22258064516129394,2015,10,19,78818,1.0,25.522580645161295,0.460829873681155,0.3168696942409022
20151020,26.200000000000003,0.8018975332068337,2015,10,20,78819,1.0,25.39810246679317,0.5441905738780436,0.37418906759683096
20151021,26.400000000000002,1.1233396584440278,2015,10,21,78820,1.0,25.276660341555974,0.546416659313188,0.3757197387869465
20151022,27.0,1.8187855787476295,2015,10,22,78821,1.0,25.18121442125237,0.5480656852252164,0.37685362000077877
20151023,27.0,1.9009487666034133,2015,10,23,78822,1.0,25.099051233396587,0.609421352959278,0.41904218629214324
20151024,26.8,1.80683111954459,2015,10,24,78823,1.0,24.99316888045541,0.7464021666297351,0.5132311072444758
20151025,25.900000000000002,1.0206831119544617,2015,10,25,78824,1.0,24.87931688804554,0.9227271301666786,0.6344733280160549
20151026,25.400000000000002,0.6280834914611013,2015,10,26,78825,1.0,24.7719165085389,1.0613368835938528,0.7297823188078809
20151027,26.5,1.8330170777988606,2015,10,27,78826,1.0,24.66698292220114,1.0722821715008697,0.7373083717626743
20151028,26.700000000000003,2.141745730550287,2015,10,28,78827,1.0,24.558254269449716,0.8874964418087004,0.6102484717611564
20151029,26.400000000000002,1.9548387096774213,2015,10,29,78828,1.0,24.44516129032258,0.49058841408757964,0.337331865072656
