yyyymmdd,data,ano,year,month,day,time,time_difference,ltm
20150811,29.200000000000003,0.24174573055028858,2015,8,11,78749,1.0,28.958254269449714
20150812,30.0,1.058633776091085,2015,8,12,78750,1.0,28.941366223908915
20150813,28.0,-0.9161290322580626,2015,8,13,78751,1.0,28.916129032258063
20150814,26.900000000000002,-2.00493358633776,2015,8,14,78752,1.0,28.904933586337762
20150815,27.0,-1.8935483870967786,2015,8,15,78753,1.0,28.89354838709678
20150816,29.200000000000003,0.325426944971543,2015,8,16,78754,1.0,28.87457305502846
20150817,29.900000000000002,1.047248576850098,2015,8,17,78755,1.0,28.852751423149904
20150818,30.200000000000003,1.367741935483874,2015,8,18,78756,1.0,28.83225806451613
20150819,30.1,1.2740037950664131,2015,8,19,78757,1.0,28.82599620493359
20150820,29.1,0.28747628083491605,2015,8,20,78758,1.0,28.812523719165085
20150821,30.0,1.1998102466793164,2015,8,21,78759,1.0,28.800189753320684
20150822,30.200000000000003,1.3994307400379533,2015,8,22,78760,1.0,28.80056925996205
20150823,30.6,1.82504743833017,2015,8,23,78761,1.0,28.77495256166983
20150824,30.700000000000003,1.9573055028463031,2015,8,24,78762,1.0,28.7426944971537
20150825,30.6,1.8844402277039833,2015,8,25,78763,1.0,28.715559772296018
20150826,28.900000000000002,0.18823529411764994,2015,8,26,78764,1.0,28.711764705882352
20150827,29.0,0.2846299810246684,2015,8,27,78765,1.0,28.71537001897533
20150828,28.3,-0.41081593927894033,2015,8,28,78766,1.0,28.71081593927894
20150829,27.8,-0.9178368121442126,2015,8,29,78767,1.0,28.717836812144213
20150830,26.6,-2.1250474383301707,2015,8,30,78768,1.0,28.725047438330172
20150831,27.400000000000002,-1.328462998102463,2015,8,31,78769,1.0,28.728462998102465
20150901,27.400000000000002,-1.3267552182163165,2015,9,1,78770,1.0,28.72675521821632
20150902,25.8,-2.933396584440228,2015,9,2,78771,1.0,28.73339658444023
20150903,27.6,-1.128842504743833,2015,9,3,78772,1.0,28.728842504743834
20150904,29.1,0.3728652751423134,2015,9,4,78773,1.0,28.727134724857688
20150905,29.3,0.5861480075901326,2015,9,5,78774,1.0,28.713851992409868
20150906,29.6,0.9263757115749556,2015,9,6,78775,1.0,28.673624288425046
20150907,28.3,-0.34155597722959996,2015,9,7,78776,1.0,28.6415559772296
20150908,27.900000000000002,-0.7064516129032228,2015,9,8,78777,1.0,28.606451612903225
